BA,Local date,Time zone,Generation only?,Demand forecast,Demand,Net generation,Total interchange,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: GEO,NG: WAT,NG: PS,NG: SUN,NG: SNB,NG: WND,NG: WNB,NG: BAT,NG: OES,NG: UES,NG: OTH,NG: UNK,AZPS,BANC,BPAT,CEN,CFE,IID,LDWP,NEVP,PACW,SRP,TIDC,WALC,Subregion PGAE,Subregion SDGE,Subregion SCE,Subregion VEA,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
CISO,22Jun2024,Pacific,N,"683,581","681,651","612,699","-62,947",0,"289,675","54,600","1,383",,"71,118",,"173,346",,"26,419",,,,,"-3,841",,"-12,315","-4,994","-24,184","2,597",,"-4,649","18,796","-21,815",0,"-16,113",536,-806,"299,702","48,714","330,578","2,654",,0.89,2.03,0,"117,255","1,272","1,333","119,860","19,693","4,626","134,927","641,348","704,295",0.41,0.42
CISO,23Jun2024,Pacific,N,"670,955","706,398","595,590","-97,623",0,"261,129","54,567","2,081",,"74,467",,"165,830",,"41,750",,,,,"-4,229",,"-12,101","-16,351","-45,228","2,564",,"-3,190","18,778","-22,856",0,"-18,571",481,"-1,149","300,512","54,902","348,125","2,857",,0.89,2.02,0,"105,474","1,911","1,364","108,748","21,819","3,884","126,683","621,532","719,155",0.39,0.39
CISO,24Jun2024,Pacific,N,"709,600","764,062","679,901","-79,363",0,"317,731","54,547","2,088",,"64,048",,"164,303",,"79,788",,,,,"-2,602",,"-12,079","-5,426","-20,249","7,511",,"-2,188","-5,689","-23,196",0,"-17,981",522,-588,"326,257","60,929","373,847","3,030",,0.89,2.03,0,"128,370","1,921","1,451","131,741","24,306","2,425","153,622","701,029","780,392",0.41,0.43
CISO,25Jun2024,Pacific,N,"717,251","762,149","700,071","-60,821",0,"338,849","54,497","2,072",,"69,387",,"168,124",,"70,334",,,,,"-3,190",,"-13,154","-5,956","-9,769","6,563",,"-1,374","2,263","-20,690",0,"-18,495",571,-780,"332,765","57,963","368,548","2,871",,0.89,2.03,0,"136,712","1,905","1,449","140,066","21,784","2,897","158,954","721,700","782,521",0.43,0.45
CISO,26Jun2024,Pacific,N,"703,238","722,202","645,012","-77,567",0,"251,078","54,523","2,093",,"69,602",,"177,256",,"99,311",,,,,"-8,851",,"-11,195","-10,613","-19,019","5,710",,"-1,660","-2,657","-20,192",0,"-18,334",830,-437,"304,480","55,069","359,418","3,234",,0.89,2.02,0,"101,339","1,922","1,595","104,856","23,102","1,990","125,969","672,160","749,727",0.34,0.37
CISO,27Jun2024,Pacific,N,"684,399","713,293","602,613","-115,304",0,"201,395","54,571","2,102",,"67,420",,"179,421",,"102,266",,,,,"-4,562",,"-10,922","-17,961","-33,556","4,974",,"-1,603","-17,588","-20,742",0,"-17,155",479,"-1,230","301,487","52,517","356,374","2,914",,0.89,2.03,0,"81,515","1,938","1,619","85,072","28,727","1,172","112,627","628,796","744,100",0.30,0.33
CISO,28Jun2024,Pacific,N,"661,877","703,809","604,952","-104,311",0,"215,198","54,567","2,109",,"67,531",,"183,654",,"82,936",,,,,"-1,036",,"-13,210","-10,096","-24,990","3,622",,"-2,844","-14,569","-24,705",0,"-16,384",621,"-1,756","307,599","50,280","343,450","2,484",,0.89,2.03,0,"87,022","1,944","1,571","90,537","27,940","1,017","117,461","630,050","734,361",0.32,0.35
CISO,29Jun2024,Pacific,N,"630,051","664,023","564,665","-106,194",0,"202,902","54,538","2,111",,"62,061",,"184,334",,"61,496",,,,,"-2,766",,"-13,486","-9,233","-25,023","1,062",,"-3,911","-16,770","-21,538",0,"-16,919",773,"-1,149","296,653","46,007","318,684","2,677",,0.89,2.03,0,"82,019","1,944","1,469","85,432","28,875",787,"113,520","590,927","697,121",0.32,0.36
CISO,30Jun2024,Pacific,N,"664,959","667,617","565,896",,0,"197,432","54,543","1,866",,"65,752",,"179,910",,"71,509",,,,,"-5,111",,"-9,129","-9,712","-31,058","1,234",,"-3,280","-17,584","-20,433",0,"-14,495",464,"-1,070","295,685","48,564","320,716","2,657",,0.89,2.03,0,"79,829","1,718","1,502","83,049","25,726",854,"107,920","593,965","699,028",0.31,0.34
CISO,01Jul2024,Pacific,N,"736,033","738,629","603,107","-136,295",0,"232,506","54,592","1,104",,"68,493",,"182,062",,"72,613",,,,,"-8,262",,"-12,772","-14,264","-44,345","3,008",,"-3,488","-25,386","-21,801",0,"-17,789",555,-13,"334,835","50,922","350,090","2,777",,0.89,2.03,0,"93,993","1,017","1,508","96,518","31,349",959,"126,908","629,858","766,153",0.34,0.37
CISO,02Jul2024,Pacific,N,"795,991","783,307","647,999",,0,"293,030","54,514","1,104",,"71,803",,"181,816",,"46,699",,,,,-967,,"-10,580","-17,455","-46,820","2,490",,"-3,754","-25,439","-24,036",0,"-14,185",326,931,"376,115","51,067","353,282","2,846",,0.89,2.03,0,"118,446","1,017","1,432","120,895","33,218","1,168","152,945","670,419","808,941",0.40,0.42
CISO,03Jul2024,Pacific,N,"833,728","819,069","676,843",,0,"343,973","54,359","1,447",,"62,031",,"178,136",,"40,511",,,,,"-3,610",,"-14,690","-12,877","-44,309","4,054",,"-2,823","-23,352","-28,897",0,"-20,045",501,734,"389,563","54,056","372,566","2,882",,0.89,2.03,0,"138,979","1,334","1,348","141,661","37,183","1,539","177,305","699,605","841,309",0.45,0.46
CISO,04Jul2024,Pacific,N,"763,872","754,514","675,799",,0,"294,615","54,462","1,969",,"84,237",,"176,989",,"69,179",,,,,"-5,648",,"-12,589","-1,623","-28,738","5,680",,"-2,160","-2,449","-19,810",0,"-15,068",689,"1,990","362,343","50,213","339,008","2,950",,0.89,2.03,0,"119,131","1,815","1,529","122,475","21,184","2,521","141,138","698,321","772,399",0.39,0.40
CISO,05Jul2024,Pacific,N,"826,210","794,929","727,054",,0,"342,935","54,542","1,104",,"86,424",,"174,088",,"68,395",,,,,-433,,"-12,048",476,"-24,333","3,517",,"-1,427","6,889","-23,010",0,"-17,741",735,"1,918","366,901","53,601","371,475","2,956",,0.89,2.02,0,"138,538","1,014","1,531","141,083","22,495","3,851","159,727","746,257","811,281",0.42,0.43
CISO,06Jul2024,Pacific,N,"767,898","773,137","691,595",,0,"324,411","54,525","1,999",,"86,380",,"174,376",,"47,942",,,,,"1,967",,"-12,229",-654,"-27,908","1,142",,"-2,674","1,203","-22,504",0,"-15,912",693,330,"363,632","52,864","353,688","2,956",,0.89,2.03,0,"131,163","1,836","1,460","134,459","23,442","2,504","155,398","710,154","788,667",0.42,0.43
CISO,07Jul2024,Pacific,N,"729,580","749,172","674,585",,0,"284,536","54,436","2,054",,"75,251",,"170,711",,"87,783",,,,,-192,,"-16,555","1,168","-20,106",67,,"-2,683",703,"-21,931",0,"-17,597",585,"1,034","349,394","50,150","346,667","2,957",,0.89,2.03,0,"115,084","1,887","1,560","118,532","25,670","2,439","141,763","696,539","771,854",0.38,0.40
CISO,08Jul2024,Pacific,N,"821,448","798,295","762,601","-33,428",0,"378,437","54,427","2,075",,"79,831",,"171,542",,"82,619",,,,,"-6,328",,"-16,425","7,506","-1,012","6,119",,"-1,800","8,160","-19,333",0,"-20,075",709,"2,723","357,048","56,276","381,872","3,098",,0.89,2.02,0,"152,686","1,905","1,556","156,146","21,434","6,404","171,176","789,263","822,691",0.44,0.46
CISO,09Jul2024,Pacific,N,"829,639","798,626","782,221","-11,288",0,"408,598","54,406","2,085",,"82,832",,"172,636",,"67,169",,,,,"-5,502",,"-12,115","4,111","9,893","6,292",,"-1,642","16,435","-20,025",0,"-16,887",795,"1,855","346,509","57,013","391,927","3,177",,0.89,2.02,0,"164,738","1,914","1,511","168,163","18,479","8,606","178,036","807,655","818,943",0.46,0.48
CISO,10Jul2024,Pacific,N,"831,032","825,659","754,094",,0,"420,989","54,436","2,021",,"74,715",,"170,512",,"35,410",,,,,"-3,996",,"-9,741","-3,091","-22,288","4,200",,"-1,458","-11,821","-14,616",0,"-15,448",670,"2,964","363,304","57,105","402,107","3,144",,0.89,2.03,0,"169,847","1,860","1,357","173,064","23,855","2,754","194,166","779,662","850,291",0.49,0.50
CISO,11Jul2024,Pacific,N,"845,648","843,548","754,098",,0,"425,141","54,409","1,602",,"85,055",,"150,581",,"40,178",,,,,"-2,867",,"-10,719","-5,393","-32,260","5,505",,-994,"-13,159","-17,448",0,"-16,169",641,"2,388","394,967","56,018","389,415","3,149",,0.89,2.03,0,"171,519","1,472","1,343","174,334","26,141","2,634","197,841","779,527","867,135",0.49,0.50
CISO,12Jul2024,Pacific,N,"801,777","814,174","722,570",,0,"403,443","54,324","2,084",,"79,400",,"129,643",,"59,337",,,,,"-5,658",,"-14,960","2,207","-32,642","5,122",,"-1,289","-11,108","-22,877",0,"-19,149",745,685,"387,416","54,796","368,755","3,209",,0.89,2.03,0,"163,053","1,916","1,303","166,272","28,877","3,089","192,060","747,769","841,035",0.49,0.50
CISO,13Jul2024,Pacific,N,"735,973","728,369","656,193",,0,"342,495","54,340","2,084",,"80,482",,"130,003",,"46,184",,,,,606,,"-12,510","2,761","-18,117","1,081",,"-1,139","-3,051","-22,113",0,"-16,096",878,136,"336,001","50,369","339,036","2,963",,0.89,2.03,0,"138,382","1,915","1,278","141,575","24,169","2,468","163,277","680,441","748,611",0.46,0.48
CISO,14Jul2024,Pacific,N,"677,558","683,376","572,731","-100,397",0,"280,805","54,335","2,082",,"75,448",,"124,642",,"36,748",,,,,"-1,334",,"-11,471","-6,093","-22,854",742,,"-2,529","-14,199","-23,485",0,"-20,895",472,-85,"297,788","51,305","331,501","2,781",,0.89,2.02,0,"113,362","1,910","1,192","116,465","29,169",739,"144,895","596,169","696,566",0.43,0.46
CISO,15Jul2024,Pacific,N,"709,153","736,105","629,873","-92,845",0,"307,265","54,332","2,082",,"73,630",,"147,842",,"55,000",,,,,"-10,279",,"-10,296","-5,093","-27,039","2,784",,"-2,574","-21,243","-10,563",0,"-19,949",629,499,"312,880","55,758","364,582","2,888",,0.89,2.02,0,"123,942","1,912","1,328","127,181","25,782","1,191","151,772","658,248","751,093",0.43,0.45
CISO,16Jul2024,Pacific,N,"683,347","735,069","686,063","-41,554",0,"294,801","54,308","2,041",,"83,664",,"166,893",,"82,855",,,,,"1,505",,"-9,862","3,227","-7,305","1,514",,"-2,179","3,356","-17,061",0,"-14,859",458,"1,157","304,897","55,361","371,839","2,969",,0.89,2.03,0,"118,806","1,878","1,583","122,267","19,026","3,787","137,506","712,670","754,224",0.38,0.40
CISO,17Jul2024,Pacific,N,"699,544","726,536","672,422","-51,000",0,"319,549","54,342","2,085",,"71,700",,"153,071",,"74,646",,,,,"-2,969",,"-9,298","-4,567","-12,633","4,684",,"-1,682","8,363","-20,757",0,"-16,562",509,943,"300,087","55,994","367,397","3,061",,0.89,2.03,0,"128,825","1,915","1,432","132,172","18,926","3,293","147,805","697,890","748,890",0.42,0.44
CISO,18Jul2024,Pacific,N,"749,365","765,623","686,384",,0,"348,558","54,346","2,099",,"84,040",,"148,277",,"53,696",,,,,"-4,629",,"-11,203","-3,980","-13,357","5,572",,"-1,926","-6,000","-24,418",0,"-18,210",325,-218,"327,657","55,920","379,133","2,919",,0.89,2.02,0,"140,708","1,928","1,368","144,004","25,088","2,453","166,639","710,161","783,576",0.45,0.47
CISO,19Jul2024,Pacific,N,"777,088","796,060","712,447",,0,"380,216","54,328","2,096",,"74,170",,"161,694",,"43,691",,,,,"-3,742",,"-10,075","-1,601","-18,446","2,298",,"-1,535","-13,022","-23,744",0,"-15,382",441,"1,184","352,147","58,521","382,367","3,024",,0.89,2.03,0,"153,551","1,927","1,362","156,840","25,848","2,135","180,553","740,059","819,941",0.47,0.49
CISO,20Jul2024,Pacific,N,"722,969","760,351","711,877",,0,"371,229","54,261","2,091",,"83,209",,"160,735",,"43,430",,,,,"-3,081",,"-9,164","6,334","-3,936","1,287",,"-1,446","-3,399","-18,594",0,"-14,482",466,"2,160","331,022","57,522","368,750","3,055",,0.89,2.03,0,"149,893","1,923","1,395","153,211","18,460","3,265","168,405","739,853","780,627",0.46,0.48
CISO,21Jul2024,Pacific,N,"688,651","714,993","659,145","-49,628",0,"328,761","54,361","2,073",,"73,348",,"159,020",,"48,719",,,,,"-7,133",,"-13,434","3,727","-1,088",-14,,"-1,548",-322,"-20,352",0,"-18,971",700,"1,674","299,462","54,822","357,553","3,154",,0.89,2.03,0,"132,619","1,906","1,355","135,880","21,494","3,294","154,080","686,910","736,538",0.44,0.46
CISO,22Jul2024,Pacific,N,"789,415","811,931","698,353",,0,"378,153","54,364","2,082",,"73,765",,"158,567",,"32,648",,,,,"-1,227",,"-13,269","-8,075","-26,673","3,013",,"-1,241","-16,151","-21,657",1,"-21,117",559,745,"352,991","59,563","396,129","3,246",,0.89,2.03,0,"152,236","1,914","1,302","155,452","27,797","1,547","181,703","722,303","826,168",0.47,0.48
CISO,23Jul2024,Pacific,N,"811,583","863,776","769,125",,0,"458,837","54,210","2,076",,"87,032",,"142,436",,"26,543",,,,,"-2,009",,"-10,478","-1,026","-20,609","3,213",,-486,"-20,124","-20,735",0,"-17,479",589,496,"388,516","62,276","409,905","3,084",,0.89,2.03,0,"184,679","1,908","1,277","187,864","28,757","2,516","214,105","796,483","883,122",0.52,0.53
CISO,24Jul2024,Pacific,N,"824,373","877,623","792,154",,0,"474,121","54,189","2,079",,"77,652",,"145,993",,"42,491",,,,,"-4,362",,"-9,545",-136,"-16,276","3,244",,854,"-19,649","-19,073",0,"-17,387",556,"3,069","390,779","66,843","416,799","3,200",,0.89,2.03,0,"191,113","1,911","1,309","194,333","24,465","3,034","215,764","820,077","894,420",0.52,0.53
CISO,25Jul2024,Pacific,N,"831,368","873,094","802,478",,0,"447,292","54,255","2,087",,"90,482",,"162,071",,"57,663",,,,,"-11,370",,"-11,099","-2,725",-11,"3,996",,385,"-21,949","-15,831",0,"-18,237",553,"3,675","371,616","69,503","428,714","3,256",,0.89,2.03,0,"180,519","1,919","1,469","183,907","22,940","2,962","203,885","835,235","896,478",0.49,0.50
CISO,26Jul2024,Pacific,N,"769,659","814,625","759,607",,-17,"382,307","54,344","2,048",,"74,205",,"170,529",,"82,056",,,,,"-5,864",,"-14,093","3,664",-297,"3,851",,29,"-8,258","-19,946",0,"-20,451",874,"2,044","338,810","65,882","407,158","2,779",2.28,0.89,2.03,,"154,554","1,885","1,523","157,963","21,319","3,205","176,077","784,651","837,234",0.44,0.46
CISO,27Jul2024,Pacific,N,"638,770","674,171","618,449",,-59,"230,501","54,370","2,011",,"76,541",,"176,509",,"83,883",,,,,"-5,311",,"-6,193","-8,247","-1,068","1,993",,"-2,017","-14,312","-19,702",0,"-10,905",485,"1,847","271,363","54,203","345,998","2,606",2.29,0.89,2.03,,"93,192","1,855","1,577","96,624","18,294","1,667","113,251","646,756","704,875",0.33,0.35
CISO,28Jul2024,Pacific,N,"590,406","631,935","564,054","-70,714",-54,"200,769","54,353","1,087",,"62,021",,"177,869",,"64,502",,,,,"3,498",,"-8,228","-4,263",-514,223,,"-4,577","-21,057","-20,250",0,"-12,086",309,-271,"261,150","50,057","318,368","2,366",2.29,0.89,2.03,,"81,287",998,"1,476","83,761","21,202","1,692","103,271","589,632","660,346",0.31,0.34
CISO,29Jul2024,Pacific,N,"646,178","694,492","607,496",,-41,"238,293","54,324","1,104",,"68,991",,"177,857",,"68,251",,,,,"-1,280",,"-8,642","-6,355","-4,712","1,758",,"-4,263","-26,239","-22,790",0,"-15,472",382,"-1,018","290,967","54,616","346,255","2,652",2.29,0.89,2.02,,"96,126","1,014","1,504","98,644","23,442","1,066","121,020","634,679","722,030",0.34,0.37
CISO,30Jul2024,Pacific,N,"676,350","715,751","649,284",,-65,"262,091","54,343","1,739",,"76,239",,"173,993",,"82,953",,,,,"-2,008",,"-9,830","-3,670","2,754","2,403",,"-3,289","-20,666","-15,402",0,"-16,950",272,"-1,631","310,055","54,716","348,361","2,622",2.29,0.89,2.03,,"105,780","1,598","1,560","108,937","21,199","1,518","128,619","673,689","739,698",0.36,0.38
CISO,31Jul2024,Pacific,N,"711,361","742,388","686,464","-51,425",-66,"350,224","54,331","2,052",,"66,174",,"173,628",,"43,277",,,,,"-3,153",,"-9,916","4,765","3,443","1,673",,"-2,758","-8,064","-21,489",0,"-18,286",372,"-1,165","327,381","54,476","357,801","2,732",2.29,0.89,2.02,,"141,384","1,883","1,376","144,643","20,679","3,202","162,120","713,748","765,173",0.45,0.47
CISO,01Aug2024,Pacific,N,"744,526","764,796","702,029","-53,458",-68,"411,458","54,277","2,075",,"87,376",,"123,884",,"29,707",,,,,"-6,680",,"-11,628","8,295","5,732","2,073",,"-1,054","-9,491","-23,088",0,"-23,607",403,"-1,093","335,040","58,054","369,148","2,556",2.29,0.89,2.03,,"165,907","1,907","1,192","169,006","24,462","4,639","188,829","726,736","780,194",0.51,0.53
CISO,02Aug2024,Pacific,N,"782,893","796,449","714,023",,-64,"436,511","54,280","2,076",,"78,817",,"111,712",,"35,360",,,,,"-4,674",,"-8,557","-2,691","-7,016","1,590",,"-1,976","-17,481","-19,914",0,"-15,058",368,-422,"337,526","61,857","394,527","2,539",2.29,0.89,2.03,,"175,830","1,907","1,135","178,872","22,928","1,061","200,739","736,713","807,870",0.54,0.55
CISO,03Aug2024,Pacific,N,"769,295","762,447","696,040",,-35,"368,578","54,236","1,970",,"81,395",,"166,478",,"29,587",,,,,"-6,167",,"-1,693",-56,"-13,580",853,,-635,"-16,873","-18,370",0,"-10,985",626,"2,231","323,641","59,637","376,192","2,972",2.28,0.89,2.03,,"148,388","1,813","1,350","151,551","17,999","2,304","167,246","725,137","783,619",0.46,0.47
CISO,04Aug2024,Pacific,N,"732,420","728,383","694,735",,-20,"343,627","54,296","1,863",,"72,996",,"167,640",,"54,878",,,,,-544,,"-1,344","5,101","-2,298",754,,-433,"-1,787","-21,033",0,"-10,174",645,"3,097","302,632","58,192","364,608","2,946",2.28,0.89,2.03,,"138,342","1,715","1,430","141,488","15,291","4,520","152,259","721,218","748,690",0.43,0.45
CISO,05Aug2024,Pacific,N,"793,433","809,868","737,798",,-46,"407,998","54,309","2,012",,"75,157",,"150,875",,"53,402",,,,,"-5,907",,"-6,921",940,"-5,977","4,424",,"1,081","-17,926","-20,851",0,"-19,615",676,"1,522","320,126","66,510","420,177","3,054",2.29,0.89,2.03,,"164,542","1,850","1,354","167,746","23,532","3,575","187,703","765,857","828,504",0.48,0.50
CISO,06Aug2024,Pacific,N,"832,894","823,898","722,570",,-24,"381,746","54,279","2,064",,"78,510",,"161,152",,"48,737",,,,,"-3,896",,"-7,949","-6,649","-28,754","3,671",,"1,384","-19,829","-18,464",0,"-16,700",690,"1,981","337,349","65,987","417,339","3,223",2.28,0.89,2.03,,"153,988","1,898","1,388","157,274","25,484","2,257","180,500","748,635","839,254",0.46,0.47
CISO,07Aug2024,Pacific,N,"809,916","818,633","722,137",,-38,"362,593","54,201","1,193",,"84,906",,"154,610",,"73,011",,,,,"-8,339",,"-13,816",-520,"-17,974","1,471",,52,"-12,410","-24,856",0,"-22,947",536,-128,"353,157","64,774","397,486","3,218",2.28,0.89,2.02,,"146,366","1,096","1,461","148,922","28,499","1,798","175,623","747,557","838,149",0.44,0.46
CISO,08Aug2024,Pacific,N,"755,765","769,576","706,255",,-24,"310,558","54,165","1,104",,"82,810",,"154,557",,"105,164",,,,,"-2,067",,"-16,426","1,853","-8,950","2,349",,-726,"4,596","-22,889",0,"-20,994",686,554,"333,044","58,677","374,620","3,231",2.28,0.89,2.03,,"125,570","1,015","1,588","128,181","23,674","2,941","148,915","728,886","788,833",0.39,0.42
CISO,09Aug2024,Pacific,N,"752,054","772,198","691,038",,-27,"317,702","54,186","1,104",,"79,056",,"157,773",,"84,949",,,,,"-3,698",,"-13,643",-398,"-9,759","2,116",,-444,"-2,686","-24,534",0,"-22,768",716,"1,522","324,763","59,365","384,862","3,213",2.28,0.89,2.03,,"128,383","1,015","1,511","130,914","24,140","2,011","153,044","715,810","785,688",0.40,0.43
CISO,10Aug2024,Pacific,N,"716,651","728,056","641,767",,-18,"261,150","54,224","2,029",,"81,525",,"158,157",,"82,524",,,,,"2,180",,"-11,396","-8,125","-17,863",691,,-16,"-5,701","-19,634",0,"-17,950",524,"1,322","298,766","55,869","370,246","3,174",2.28,0.89,2.03,,"105,514","1,870","1,522","108,909","23,203","1,148","130,964","663,009","741,157",0.36,0.39
CISO,11Aug2024,Pacific,N,"687,763","723,270","623,529",,1,"255,990","54,072","2,077",,"79,564",,"152,526",,"79,534",,,,,-243,,"-17,819","-9,741","-16,246","3,080",,-498,"-7,026","-23,057",0,"-23,659",482,-867,"289,302","60,103","370,679","3,192",2.36,0.89,2.03,,"103,593","1,914","1,492","107,023","27,773","1,148","133,647","650,097","745,448",0.36,0.40
CISO,12Aug2024,Pacific,N,"725,081","780,004","640,479",,-38,"271,810","53,980","2,080",,"76,685",,"163,186",,"78,632",,,,,"-5,859",,"-12,322","-17,078","-26,946",687,,-348,"-25,973","-27,084",0,"-21,673",330,-358,"306,776","67,665","402,526","3,047",2.28,0.89,2.03,,"109,802","1,915","1,511","113,228","32,501",659,"145,070","670,960","801,725",0.37,0.40
CISO,13Aug2024,Pacific,N,"708,769","762,394","628,268",,-22,"233,562","53,894","2,075",,"83,432",,"174,412",,"85,027",,,,,"-4,121",,"-15,258","-16,798","-22,449","2,473",,-648,"-25,913","-26,296",3,"-22,425",274,486,"304,033","66,366","389,096","2,904",2.28,0.89,2.03,,"94,471","1,910","1,607","97,988","32,365",903,"129,450","657,765","784,316",0.33,0.36
CISO,14Aug2024,Pacific,N,"726,021","760,694","659,992",,-27,"257,357","54,014","2,072",,"68,803",,"176,365",,"101,625",,,,,-220,,"-15,391","-7,352","-15,616","1,361",,"-1,623","-14,831","-24,205",5,"-20,476",412,"1,208","312,638","62,535","382,797","2,726",2.29,0.89,2.04,,"104,093","1,916","1,631","107,640","26,829","1,031","133,438","688,096","784,604",0.34,0.37
CISO,15Aug2024,Pacific,N,"732,579","769,861","661,726",,-40,"258,309","54,054","2,065",,"85,129",,"175,121",,"93,748",,,,,"-6,663",,"-14,529","-10,128","-20,677","3,038",,"-2,928","-17,735","-19,736",1,"-20,768",337,983,"315,555","63,526","388,106","2,675",2.28,0.89,2.03,,"104,124","1,903","1,641","107,668","26,559","1,011","133,216","691,625","793,767",0.34,0.37
CISO,16Aug2024,Pacific,N,"735,153","767,754","662,168",,-39,"305,587","54,001","2,070",,"76,344",,"169,341",,"57,958",,,,,"-3,087",,"-13,004","-7,507","-17,518","1,349",,"-1,028","-20,213","-20,836",0,"-21,215",572,"1,090","312,904","61,087","391,089","2,679",2.28,0.89,2.03,,"123,146","1,904","1,458","126,509","26,620","1,089","152,040","690,764","789,074",0.40,0.42
CISO,17Aug2024,Pacific,N,"666,405","690,270","618,599","-70,673",4,"248,286","53,800","2,075",,"78,147",,"171,572",,"72,317",,,,,"-7,599",,"-10,780","-8,018","-12,111","1,141",,"-1,064","-6,102","-17,615",0,"-16,873",485,264,"285,206","54,095","348,084","2,888",2.28,0.89,2.03,,"100,126","1,910","1,510","103,553","20,684","1,052","123,185","647,047","717,720",0.35,0.38
CISO,18Aug2024,Pacific,N,"635,282","655,356","574,957",,-5,"233,249","53,829","2,085",,"69,421",,"165,703",,"52,669",,,,,"-1,995",,"-11,124","-5,693","-5,154","2,805",,"-2,317","-12,591","-21,182",0,"-20,669",275,-627,"266,744","53,733","332,156","2,722",2.26,0.89,2.03,,"94,108","1,920","1,391","97,432","22,959","1,618","118,773","600,819","677,096",0.36,0.39
CISO,19Aug2024,Pacific,N,"692,230","743,943","649,766",,-26,"310,411","53,801","2,081",,"74,800",,"171,406",,"41,166",,,,,"-3,874",,"-9,753","-9,089","-17,915","8,113",,-326,"-16,037","-24,713",0,"-19,642",716,"2,157","295,838","62,728","382,477","2,904",2.28,0.89,2.03,,"125,270","1,915","1,398","128,583","25,988","2,574","151,997","679,778","766,267",0.42,0.44
CISO,20Aug2024,Pacific,N,"743,865","754,145","676,884",,-31,"306,248","53,771","2,078",,"86,404",,"170,377",,"59,795",,,,,"-1,759",,"-8,446","-6,412","-15,978","9,464",,473,"-15,073","-20,990",0,"-18,693",597,"1,424","297,836","68,418","385,142","2,750",2.27,0.89,2.03,,"123,646","1,914","1,508","127,069","23,342","3,017","147,394","704,541","778,175",0.40,0.42
CISO,21Aug2024,Pacific,N,"732,286","761,245","659,184",,-39,"300,730","53,773","2,073",,"77,846",,"161,039",,"71,347",,,,,"-7,584",,"-13,157","-7,541","-20,746","7,306",,496,"-14,981","-23,109",0,"-24,056",545,107,"302,488","67,114","388,852","2,795",2.28,0.89,2.03,,"121,503","1,909","1,469","124,881","28,411","2,171","151,121","688,861","783,997",0.40,0.42
CISO,22Aug2024,Pacific,N,"670,065","727,006","635,888",,-24,"257,642","53,768","2,068",,"84,747",,"167,435",,"74,484",,,,,"-4,241",,"-13,584","-7,058","-13,992","1,781",,-515,"-8,419","-23,761",0,"-21,419",625,-995,"292,052","62,779","369,503","2,673",2.28,0.89,2.03,,"104,184","1,904","1,534","107,622","25,918","1,288","132,252","662,647","749,984",0.36,0.39
CISO,23Aug2024,Pacific,N,"645,364","680,642","563,653",,-24,"198,519","53,712","2,061",,"68,158",,"164,854",,"77,836",,,,,"-1,466",,"-12,219","-14,099","-27,698",237,,"-2,736","-18,864","-23,444",0,"-16,612",252,"-2,050","282,857","57,587","337,855","2,344",2.28,0.89,2.03,,"80,126","1,900","1,487","83,512","25,372",429,"108,455","591,276","708,509",0.31,0.34
CISO,24Aug2024,Pacific,N,"580,669","620,144","518,596","-102,720",-44,"162,990","53,649","2,067",,"70,758",,"157,667",,"75,889",,,,,"-4,380",,"-13,065","-13,528","-18,974",-374,,"-3,628","-11,802","-23,000",0,"-15,669",42,"-2,722","266,631","50,873","300,431","2,208",2.28,0.89,2.03,,"65,766","1,906","1,453","69,125","25,173",826,"93,472","546,714","649,434",0.28,0.32
CISO,25Aug2024,Pacific,N,"569,786","607,369","522,720",,-23,"177,836","53,645","2,071",,"70,654",,"162,897",,"58,568",,,,,"-2,927",,"-13,733","-8,038","-10,242",356,,"-4,606","-1,521","-23,779",0,"-15,783",-117,"-2,602","255,515","50,574","299,157","2,120",2.28,0.89,2.03,,"71,739","1,906","1,404","75,057","22,344","1,664","95,737","548,796","628,861",0.30,0.34
CISO,26Aug2024,Pacific,N,"686,223","714,720","600,009",,77,"281,793","53,630","2,064",,"77,188",,"166,793",,"23,418",,,,,"-4,957",,"-17,098","-7,726","-16,418",844,,"-2,790","-10,627","-25,905",0,"-23,505",29,"-2,320","302,451","58,822","351,115","2,336",2.28,0.89,2.03,80,"113,547","1,898","1,315","116,840","29,146",628,"145,357","629,483","734,999",0.41,0.44
CISO,27Aug2024,Pacific,N,"727,341","749,597","611,087",,75,"287,861","53,518","2,063",,"81,960",,"164,186",,"22,611",,,,,"-1,191",,"-10,216","-15,654","-31,756","1,351",,"-1,403","-32,245","-21,812",0,"-19,140",418,2,"326,842","58,201","362,049","2,501",2.28,0.89,2.02,78,"116,044","1,893","1,331","119,346","30,254",892,"148,709","639,792","770,247",0.41,0.43
