BA,Local date,Time zone,Generation only?,Demand forecast,Demand,Net generation,Total interchange,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: GEO,NG: WAT,NG: PS,NG: SUN,NG: SNB,NG: WND,NG: WNB,NG: BAT,NG: OES,NG: UES,NG: OTH,NG: UNK,AZPS,BANC,BPAT,CEN,CFE,IID,LDWP,NEVP,PACW,SRP,TIDC,WALC,Subregion PGAE,Subregion SDGE,Subregion SCE,Subregion VEA,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
CISO,14Jan2024,Pacific,N,"497,826","526,998","515,391","1,814",0,"293,797","54,462",940,,"48,248",,"69,929",,"56,901",,,,,"-8,889",,"-20,668","25,204","45,187",-254,,"-7,434","16,706","-25,622",194,"-29,429",-524,"-1,546","239,569","48,839","236,391","2,198",,0.88,2.03,0,"117,887",,920,"119,684","27,572","20,861","126,395","536,394","534,580",0.49,0.52
CISO,15Jan2024,Pacific,N,"546,396","563,136","543,673","-6,803",0,"354,853","54,441",-55,,"53,900",,"61,336",,"14,574",,,,,"4,630",,"-19,669","22,074","40,760","3,754",,"-6,903","12,396","-27,754",-183,"-27,671",-528,"-3,079","256,589","50,004","254,336","2,209",,0.89,2.03,0,"142,976",,772,"143,748","27,413","21,373","149,788","557,570","564,373",0.57,0.59
CISO,16Jan2024,Pacific,N,"568,078","589,561","568,788","-10,728",0,"381,236","54,436",-48,,"54,395",,"68,293",,"10,246",,,,,236,,"-19,358","22,083","37,908","5,746",,"-7,039","13,852","-30,189",-115,"-30,619",-296,"-2,701","272,637","50,802","263,670","2,451",,0.89,2.04,0,"153,637",,773,"154,410","29,184","22,065","161,528","584,339","595,067",0.58,0.60
CISO,17Jan2024,Pacific,N,"559,640","582,176","561,347","-13,787",0,"340,422","54,439",-50,,"52,515",,"58,074",,"63,864",,,,,"-7,921",,"-23,726","18,763","29,942","8,093",,"-6,280","19,300","-21,535",-209,"-35,192",-398,"-2,545","261,005","52,621","266,364","2,185",,0.89,2.03,0,"137,631",,915,"138,547","29,476","19,094","148,928","580,944","594,731",0.53,0.55
CISO,18Jan2024,Pacific,N,"551,586","580,866","535,602",,0,"352,486","54,426",254,,"42,150",,"66,147",,"16,792",,,,,"3,351",,"-26,410","20,431","30,624","7,611",,"-7,202","5,985","-23,463",-130,"-41,160",-505,"-1,653","267,779","49,538","261,299","2,253",,0.89,2.03,0,"142,545",,758,"143,583","31,782","17,610","157,755","552,069","587,941",0.57,0.59
CISO,19Jan2024,Pacific,N,"558,220","582,102","533,448",,0,"376,718","54,391","1,104",,"47,922",,"41,885",,"7,727",,,,,"3,699",,"-19,935","15,008","28,209","7,100",,"-6,274","4,624","-23,982",-153,"-36,679",-698,"-1,763","267,795","50,979","261,358","1,965",,0.89,2.03,0,"151,720","1,016",634,"153,370","29,358","16,135","166,592","544,398","578,941",0.62,0.63
CISO,20Jan2024,Pacific,N,"531,590","549,829","480,595",,0,"328,521","54,373","1,100",,"46,823",,"26,773",,"24,967",,,,,"-1,966",,"-22,922","10,180","23,874","4,846",,"-6,163","6,032","-27,723",218,"-43,148",-466,"-1,785","246,983","51,817","249,292","1,735",,0.89,2.03,0,"132,451","1,015",602,"134,067","33,825","12,924","154,969","487,693","544,750",0.61,0.63
CISO,21Jan2024,Pacific,N,"509,690","535,512","455,710","-62,227",0,"298,927","54,301",766,,"38,372",,"47,102",,"27,048",,,,,"-10,807",,"-24,619","13,790","15,393","4,262",,"-5,649","5,143","-25,227",66,"-42,589",-330,"-2,467","246,726","49,673","237,309","1,802",,0.89,2.04,0,"120,907",,668,"122,290","35,097","10,383","147,004","475,266","537,493",0.57,0.60
CISO,22Jan2024,Pacific,N,"580,940","586,206","503,213","-71,295",0,"350,028","54,289",703,,"52,699",,"17,867",,"25,769",,,,,"1,856",,"-26,138","6,890","12,985","6,746",,"-4,433","7,184","-25,722",-251,"-43,752",-556,"-4,248","262,854","56,803","264,556","1,995",,0.89,2.03,0,"140,938",,617,"142,222","37,023","9,793","169,452","512,797","584,092",0.61,0.64
CISO,23Jan2024,Pacific,N,"556,627","556,620","525,991","-13,687",0,"313,297","54,307","1,100",,"49,734",,"55,415",,"49,741",,,,,"2,393",,"-14,175","10,236","17,537","7,408",,"-4,520","19,175","-21,223",-184,"-26,513",-296,"-1,132","252,603","50,149","252,049","1,822",,0.89,2.03,0,"125,944","1,012",872,"127,828","22,445","13,044","137,229","543,401","557,088",0.52,0.54
CISO,24Jan2024,Pacific,N,"566,259","584,210","532,400","-36,808",0,"353,524","54,295","1,102",,"52,050",,"36,430",,"36,663",,,,,"-1,663",,"-19,134","8,550","17,625","6,201",,"-3,858","7,852","-21,123",-202,"-30,879",-546,"-1,294","264,601","52,419","265,445","1,748",,0.89,2.03,0,"142,102","1,013",718,"143,833","26,688","11,521","159,000","543,350","580,158",0.58,0.60
CISO,25Jan2024,Pacific,N,"547,169","561,877","511,430","-37,137",0,"273,720","54,300","1,102",,"45,163",,"80,862",,"64,627",,,,,"-8,346",,"-17,300","12,365","10,074","4,303",,"-5,697","14,013","-20,723",-326,"-32,156",-218,"-1,472","248,833","51,169","260,323","1,549",,0.89,2.03,0,"109,982","1,016",989,"111,987","24,466","8,584","127,869","534,641","571,778",0.46,0.49
CISO,26Jan2024,Pacific,N,"534,139","558,484","497,053","-57,210",0,"282,435","54,310","1,102",,"51,799",,"87,032",,"24,410",,,,,"-4,032",,"-20,790","11,631","14,327","4,020",,"-6,100","6,391","-24,253",-319,"-39,903",-129,"-2,085","251,610","48,075","257,260","1,540",,0.89,2.03,0,"113,770","1,015",889,"115,674","29,318","8,158","136,833","517,119","574,329",0.49,0.53
CISO,27Jan2024,Pacific,N,"488,188","508,666","428,694","-66,677",0,"233,447","54,283","1,104",,"40,706",,"77,361",,"20,983",,,,,817,,"-16,890","11,341","7,220","2,169",,"-6,671",378,"-26,706",-468,"-34,451",-145,"-2,454","232,298","44,451","230,154","1,762",,0.89,2.03,0,"94,103","1,016",795,"95,914","27,410","4,602","118,722","443,346","510,023",0.48,0.51
CISO,28Jan2024,Pacific,N,"470,191","494,104","385,113","-96,251",0,"205,637","54,139","1,104",,"32,085",,"75,600",,"20,924",,,,,"-4,383",,"-19,186",816,"-4,400","3,423",,"-6,242","-4,036","-26,203",-683,"-36,834",-325,"-2,581","227,160","44,268","221,023","1,650",,0.89,2.03,0,"82,931","1,016",746,"84,693","31,937","2,366","114,264","402,881","499,132",0.46,0.50
CISO,29Jan2024,Pacific,N,"525,849","535,769","437,741","-84,673",0,"233,500","54,270","1,062",,"40,173",,"98,233",,"11,308",,,,,-802,,"-18,223",-140,"-3,674","3,925",,"-6,774","2,137","-25,836",-705,"-33,270",-357,"-1,756","240,167","46,696","247,379","1,531",,0.89,2.03,0,"94,316",978,838,"96,133","30,477","3,660","122,950","454,870","539,543",0.47,0.50
CISO,30Jan2024,Pacific,N,"536,127","540,769","427,085","-98,812",0,"227,890","54,252","1,093",,"46,492",,"92,086",,"6,070",,,,,-790,,"-19,365","-7,556","-9,928","3,525",,"-7,237","6,126","-26,851",-957,"-35,074",-273,"-1,222","240,618","46,332","252,432","1,392",,0.89,2.03,0,"92,047","1,007",817,"93,872","32,315","3,765","122,422","443,652","542,464",0.47,0.50
CISO,31Jan2024,Pacific,N,"552,874","562,735","421,800","-129,194",0,"230,303","54,243","1,099",,"51,058",,"51,744",,"33,059",,,,,296,,"-25,781","-8,929","-9,266","3,857",,"-6,391","-1,045","-31,670",-895,"-45,318",-546,"-3,210","260,437","47,560","252,944","1,792",,0.89,2.03,0,"93,118","1,013",767,"94,898","40,278","1,795","133,382","432,935","562,129",0.48,0.52
CISO,01Feb2024,Pacific,N,"566,929","581,320","447,088","-130,457",0,"261,097","54,238","1,101",,"54,124",,"29,189",,"43,485",,,,,"3,856",,"-29,490","-7,591",-940,"5,606",,"-5,246","-3,278","-27,678",-696,"-55,706",-705,"-4,733","252,086","57,343","269,506","2,384",,0.89,2.03,0,"105,635","1,014",750,"107,399","46,980","2,897","151,483","459,276","589,733",0.52,0.57
